index,sourceInternalId,sourceFile,sha256,phash,width,height,aspectRatio,format,mime,colorMode,hasAlpha,alphaBounds,fileSize,rgbaDecodedBytes,transparentPaddingRatio,exactDuplicateOf,nearDuplicateGroup,category,semanticName,confidence,usedOnScreens,bakedText,nineSliceCandidate,notes
204,972aeff153e8e30977db2daeb9ce123062a01c6b,analysis/figma/raw/images/972aeff153e8e30977db2daeb9ce123062a01c6b,638547851abb940177f091c48cdc9ba11c323dd4477e8ffc5673de6949a02534,b9d3c66699596134,428,457,0.936543,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 428, ""h"": 457}",223668,782384,0.0,,"[""NEAR-135""]",hero,hero_bunny_assassin__428x457,0.85,[],NO_VISIBLE_TEXT,False,
205,972e039866c2fe5ba80ce49832458f07ed7bfb14,analysis/figma/raw/images/972e039866c2fe5ba80ce49832458f07ed7bfb14,468f28589671214333247e67c7ee9561c8c08e606dcad74aca4ef4cd02c1a0a2,ec893353a57e9207,235,300,0.783333,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 235, ""h"": 300}",135437,282000,0.0,,"[""NEAR-132""]",relic,relic_shadow_crystal__235x300,0.85,[],NO_VISIBLE_TEXT,False,
206,9887c23fae59d8e27878791c157c9f3a050e62b0,analysis/figma/raw/images/9887c23fae59d8e27878791c157c9f3a050e62b0,12b71755e44073179e9ce43ff6c826f1acf7944a17eb736712d270cc7d22c9e1,cee33134c632f04f,537,568,0.945423,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 537, ""h"": 568}",361634,1220064,0.0,,"[""NEAR-048""]",equipment,equipment_panda_monk_pants__537x568,0.95,[],NO_VISIBLE_TEXT,False,
207,993edd1c8a640a43e0fb87cc37079f5765605e95,analysis/figma/raw/images/993edd1c8a640a43e0fb87cc37079f5765605e95,e2b047509863564d6dd636354433d20a55b861eeb91a9ed330a81186d44dfd83,87c7368e2db36432,2172,724,3.0,PNG,image/png,RGB,False,"{""x"": 0, ""y"": 0, ""w"": 2172, ""h"": 724}",2325191,6290112,0.0,,"[""NEAR-136""]",background,background_dungeon_gargoyle_strip__2172x724,0.95,[],NO_VISIBLE_TEXT,False,
208,9ac723b1f182093d5f39012ef3f94c689e9e7978,analysis/figma/raw/images/9ac723b1f182093d5f39012ef3f94c689e9e7978,90a71b39e36341da11896ac6684f75e79842c3685d6ddad1b5a7681d6eee32b2,aec2b1334b85d347,334,250,1.336,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 334, ""h"": 250}",181746,334000,0.0,,"[""NEAR-092""]",equipment,equipment_raccoon_engineer_chest_machine__334x250,0.85,[],NO_VISIBLE_TEXT,False,
209,9b0cf33621b6360ebfb1823457ec9af3caa04003,analysis/figma/raw/images/9b0cf33621b6360ebfb1823457ec9af3caa04003,2cfbc998dca9d1cc05a00b1f4bdba221c8fe583bfb896872903c4f1f6c3f9898,9744882a7f7f5581,184,379,0.485488,JPEG,image/jpeg,RGB,False,"{""x"": 0, ""y"": 0, ""w"": 184, ""h"": 379}",99154,278944,0.0,,"[""NEAR-137""]",reference,reference_gradient_wallpaper__184x379,0.85,[],NO_VISIBLE_TEXT,False,
210,9b939242dd505c0f5e83127ef26368c906d5b6ef,analysis/figma/raw/images/9b939242dd505c0f5e83127ef26368c906d5b6ef,a6507fa05f567e30990e93cfd2a882eb469bb1bb429fcac35a5fce6dcab76aab,bcc38b69371e19c2,562,646,0.869969,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 562, ""h"": 646}",378647,1452208,0.0,,"[""NEAR-102""]",equipment,equipment_turtle_warrior_hammer__562x646,0.95,[],NO_VISIBLE_TEXT,False,
211,9cd4bf1eb5c27b97be2cbf505269c248cc1f0e22,analysis/figma/raw/images/9cd4bf1eb5c27b97be2cbf505269c248cc1f0e22,5e60fd3a61fd3f6448be2db7f6e819876b620a74471ee908032c9d189bd01c63,c4cc1c699976a6c7,242,273,0.886447,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 242, ""h"": 273}",105979,264264,0.0,,"[""NEAR-067""]",equipment,equipment_ice_fairy_ring_snowflake__242x273,0.85,[],NO_VISIBLE_TEXT,False,
212,9d5f5141fd61d21842fe70ddb0c792239ccc64b7,analysis/figma/raw/images/9d5f5141fd61d21842fe70ddb0c792239ccc64b7,9bbd36837d37d7a9a2bd95fba730830da982bf651fdd897090af47556855c80c,c9e0aa07cd1b36ce,497,460,1.080435,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 497, ""h"": 460}",314064,914480,0.0,,,equipment,equipment_raccoon_engineer_ring_gem__497x460,0.95,[],NO_VISIBLE_TEXT,False,
213,9d8b7302f90725a0d24c86b0988b2ac3b8459fa5,analysis/figma/raw/images/9d8b7302f90725a0d24c86b0988b2ac3b8459fa5,f68e6b52f10d37e8acb7b7a94eba0a5af1818e17a80951f170a33f507051fd49,eed2b20b946dcc34,483,547,0.882998,PNG,image/png,RGBA,True,"{""x"": 0, ""y"": 0, ""w"": 483, ""h"": 547}",377529,1056804,0.0,,"[""NEAR-100""]",relic,relic_green_disc__483x547,0.95,"[""SCREEN-005""]",NO_VISIBLE_TEXT,False,
