purchaseOrdinal,candidate,displayedPrice,prediction,residualObservedMinusPrediction
8,ceil_exponential_1.05,1,2,-1
9,ceil_exponential_1.05,1,2,-1
10,ceil_exponential_1.05,1,2,-1
11,ceil_exponential_1.05,1,2,-1
12,ceil_exponential_1.05,1,2,-1
13,ceil_exponential_1.05,1,2,-1
14,ceil_exponential_1.05,1,2,-1
15,ceil_exponential_1.05,1,2,-1
16,ceil_exponential_1.05,2,3,-1
17,ceil_exponential_1.05,2,3,-1
18,ceil_exponential_1.05,2,3,-1
19,ceil_exponential_1.05,2,3,-1
20,ceil_exponential_1.05,2,3,-1
21,ceil_exponential_1.05,2,3,-1
22,ceil_exponential_1.05,2,3,-1
23,ceil_exponential_1.05,2,3,-1
24,ceil_exponential_1.05,3,4,-1
25,ceil_exponential_1.05,3,4,-1
26,ceil_exponential_1.05,3,4,-1
27,ceil_exponential_1.05,3,4,-1
28,ceil_exponential_1.05,3,4,-1
29,ceil_exponential_1.05,3,4,-1
30,ceil_exponential_1.05,4,5,-1
1,observed_piecewise_overfit,1,1,0
2,observed_piecewise_overfit,1,1,0
3,observed_piecewise_overfit,1,1,0
4,observed_piecewise_overfit,1,1,0
5,observed_piecewise_overfit,1,1,0
6,observed_piecewise_overfit,1,1,0
7,observed_piecewise_overfit,1,1,0
8,observed_piecewise_overfit,1,1,0
9,observed_piecewise_overfit,1,1,0
10,observed_piecewise_overfit,1,1,0
11,observed_piecewise_overfit,1,1,0
12,observed_piecewise_overfit,1,1,0
13,observed_piecewise_overfit,1,1,0
14,observed_piecewise_overfit,1,1,0
15,observed_piecewise_overfit,1,1,0
16,observed_piecewise_overfit,2,2,0
17,observed_piecewise_overfit,2,2,0
18,observed_piecewise_overfit,2,2,0
19,observed_piecewise_overfit,2,2,0
20,observed_piecewise_overfit,2,2,0
21,observed_piecewise_overfit,2,2,0
22,observed_piecewise_overfit,2,2,0
23,observed_piecewise_overfit,2,2,0
24,observed_piecewise_overfit,3,3,0
25,observed_piecewise_overfit,3,3,0
26,observed_piecewise_overfit,3,3,0
27,observed_piecewise_overfit,3,3,0
28,observed_piecewise_overfit,3,3,0
29,observed_piecewise_overfit,3,3,0
30,observed_piecewise_overfit,4,4,0
